age_of_driver,age_band_of_driver,engine_capacity_cc,age_of_vehicle,sex_of_driver_Male,journey_purpose_of_driver_Journey as part of work,journey_purpose_of_driver_Not known,journey_purpose_of_driver_Other,journey_purpose_of_driver_Pupil riding to/from school,journey_purpose_of_driver_Taking pupil to/from school,propulsion_code_Gas/Bi-fuel,propulsion_code_Heavy oil,propulsion_code_Hybrid electric,propulsion_code_Petrol,driver_imd_decile_Less deprived 10-20%,driver_imd_decile_Less deprived 20-30%,driver_imd_decile_Less deprived 30-40%,driver_imd_decile_Less deprived 40-50%,driver_imd_decile_More deprived 10-20%,driver_imd_decile_More deprived 20-30%,driver_imd_decile_More deprived 30-40%,driver_imd_decile_More deprived 40-50%,driver_imd_decile_Most deprived 10%,driver_home_area_type_Small town,driver_home_area_type_Urban area,model_BMW,model_CITROEN,model_FIAT,model_FORD,model_HONDA,model_HYUNDAI,model_JAGUAR,model_KAWASAKI,model_KIA,model_KTM,model_LAND,model_LEXMOTO,model_MAZDA,model_MERCEDES,model_MINI,model_MITSUBISHI,model_NISSAN,model_PEUGEOT,model_RENAULT,model_SEAT,model_SKODA,model_SUZUKI,model_TOYOTA,model_TRIUMPH,model_VAUXHALL,model_VOLKSWAGEN,model_VOLVO,model_YAMAHA,accident_severity
4.23410650459726,2.3978952727983707,7.311886164077165,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
4.007333185232471,2.1972245773362196,7.2875606403097235,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3.332204510175204,1.9459101490553132,7.493873886783559,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
3.367295829986474,1.9459101490553132,7.585281078639126,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
2.9444389791664403,1.6094379124341003,7.151485463904735,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
4.248495242049359,2.3978952727983707,7.585281078639126,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
3.295836866004329,1.9459101490553132,7.3758821482150125,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3.2188758248682006,1.791759469228055,6.862757913051401,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
3.8918202981106265,2.1972245773362196,7.5766097669730375,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3.9318256327243257,2.1972245773362196,9.455480221162288,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
